   1  |    1   1   1   1   1   1   1   1
   2  |    1   1   1   2   2   2   2   2
   3  |    1   1   2   1   2   1   2   1
   4  |    1   1   2   2   1   2   1   2
   5  |    1   2   1   1   2   2   1   1
   6  |    1   2   1   2   1   1   2   2
   7  |    1   2   2   1   1   2   2   1
   8  |    1   2   2   2   2   1   1   2
   9  |    2   1   1   1   2   1   1   2
  10  |    2   1   1   2   1   2   2   1
  11  |    2   1   2   1   1   1   2   2
  12  |    2   1   2   2   2   2   1   1
  13  |    2   2   1   1   1   2   1   2
  14  |    2   2   1   2   2   1   2   1
  15  |    2   2   2   1   2   2   2   2
  16  |    2   2   2   2   1   1   1   1
  17  |    1   1   1   2   2   1   1   1
  18  |    1   2   2   1   1   1   1   2
  19  |    2   1   1   2   1   1   1   2
  20  |    2   2   2   1   2   1   1   1
  21  |    1   1   2   2   1   1   2   1
  22  |    1   2   1   1   1   1   2   1
  23  |    1   1   1   1   1   2   2   2
  24  |    1   2   2   2   2   2   2   1
  25  |    2   1   1   1   2   2   2   1
  26  |    2   2   2   2   1   2   2   2
  27  |    1   1   2   1   1   2   1   1
  28  |    2   2   1   2   -   2   1   1
  29  |    2   1   1   1   1   2   1   1
  30  |    2   1   2   -   -   1   1   1
  31  |    1   2   1   1   2   1   1   2
  32  |    1   2   2   -   2   2   1   2
  33  |    1   1   1   -   2   1   2   2
  34  |    2   1   2   -   -   2   2   1
  35  |    2   2   1   2   2   2   2   2
  36  |    1   2   2   -   -   1   2   2
  37  |    2   1   2   -   2   2   1   2
  38  |    2   2   -   -   -   1   -   2
